Soil pH,Soil Texture,Wind Speed (m/s),Humidity (%),Is Crop,Start,End,Is Previous Crop,Yield of Previous Crop (kg/ha),Crop Growth Stage,Rainfall Confidence (%),Is Planting Month,Crop to Plant,Water Management,Pest Control Recommendation,Optimal Planting Time
5.2,Clay,5.03,34.77,Potatoes,2,4,Spinach,674.07,Mature,16,4,Rice,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Delay planting for at least a month.
5.3,Loamy,8.8,99.65,Rice,4,6,Bitter Kola,4731.23,Vegetative,53,4,Beans,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Delay planting for a week.
5.4,Loamy,2.6,94.18,Watermelon,9,11,Potatoes,935.72,Vegetative,98,9,Beans,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Plant immediately.
6.2,Loamy,3.17,74.41,Mangoes,10,12,"Tropical Fruits (Papaya, Guava, etc.)",986.33,Vegetative,17,11,Beans,Implement drip irrigation and monitor water levels.,High risk of pests; consider organic options and monitor closely.,Consider planting a different crop.
5.6,Clay,9.73,96.53,Okra (Lady's Finger),7,9,Watermelon,3863.28,Mature,6,12,Potatoes,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Not optimal for planting; consider waiting for the right season.
6.2,Clay,6.63,88.73,Pigeon Peas,1,12,Eggplant (Brinjal),2512.46,Vegetative,39,9,Rice,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Consider planting a different crop.
5.6,Loamy,1.83,30.12,"Tropical Fruits (Papaya, Guava, etc.)",1,12,Sorghum,731.82,Vegetative,40,7,Beans,Implement drip irrigation and monitor water levels.,Optimal time to spray; consider preventive measures.,Delay planting for at least a month.
6.8,Clay,2.68,98.42,Pumpkins,7,9,"Tropical Fruits (Papaya, Guava, etc.)",3632.04,Mature,24,2,Rice,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Consider planting a different crop.
6.0,Loamy,5.44,68.79,Cassava,1,12,Beans,2409.2,Vegetative,52,3,Sorghum,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Delay planting for a week.
5.6,Clay,7.61,45.88,Groundnuts (Peanuts),1,12,Pigeon Peas,137.49,Vegetative,98,8,Potatoes,Natural moisture retention is sufficient; monitor conditions.,Windy conditions; monitor for pests but spraying may be less effective.,Plant immediately.
5.8,Clay,6.9,71.73,Zucchini,9,11,Onions,4556.96,Mature,74,11,Potatoes,Natural moisture retention is sufficient; monitor conditions.,Regularly monitor pest populations; maintain good crop health.,Plant immediately.
6.5,Loamy,2.03,87.47,Lettuce,5,7,Groundnuts (Peanuts),3231.59,Vegetative,55,6,Sorghum,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Delay planting for a week.
6.4,Clay,9.32,92.67,Beans,8,10,Rice,3373.93,Vegetative,37,4,Potatoes,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Consider planting a different crop.
6.9,Clay,8.21,37.76,Pineapples,1,12,Coffee,3873.91,Vegetative,38,5,Rice,Frequent irrigation required for seedling establishment.,Windy conditions; monitor for pests but spraying may be less effective.,Delay planting for at least a month.
6.2,Loamy,3.07,74.89,Onions,7,9,Rice,143.6,Vegetative,70,12,Beans,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Not optimal for planting; consider waiting for the right season.
5.7,Loamy,9.66,30.42,Pineapples,1,12,Onions,905.41,Mature,100,5,Beans,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Plant immediately.
5.6,Clay,1.18,58.47,Maize,3,5,Cassava,4745.44,Mature,51,5,Potatoes,Maintain steady moisture levels to support final crop development.,Regularly monitor pest populations; maintain good crop health.,Delay planting for two weeks.
5.4,Clay,2.08,45.17,Chili Peppers,8,10,Avocados,1410.73,Vegetative,45,4,Rice,Frequent irrigation required for seedling establishment.,Optimal time to spray; consider preventive measures.,Not optimal for planting; consider waiting for the right season.
6.0,Clay,9.31,88.91,Mangoes,10,12,Cucumbers,4689.13,Vegetative,33,12,Rice,Frequent irrigation required for seedling establishment.,High risk of pests; consider organic options and monitor closely.,Delay planting for at least a month.
